City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,78.58,74,100,16.49,PF,1619298208
São Filipe,14.8961,-24.4956,72.32,75,45,9.4,CV,1619298369
Safranbolu,41.2508,32.6942,52.68,87,100,3.42,TR,1619298369
Klaksvík,62.2266,-6.589,44.6,81,100,1.14,FO,1619298370
San Cristobal,7.7669,-72.225,87.8,62,40,18.41,VE,1619298370
Rosarito,32.3333,-117.0333,68.0,49,20,10.36,MX,1619298370
Sakaiminato,35.55,133.2333,55.4,88,75,2.3,JP,1619298371
George Town,5.4112,100.3354,82.0,89,20,5.75,MY,1619298084
Torbay,47.6666,-52.7314,50.0,50,40,33.38,CA,1619298328
Tiksi,71.6872,128.8694,30.79,92,100,11.68,RU,1619298248
Kaitangata,-46.2817,169.8464,46.99,82,44,1.99,NZ,1619298371
Kurumkan,54.3,110.3,41.38,45,100,3.04,RU,1619298371
Chipinge,-20.1883,32.6236,58.95,76,0,4.5,ZW,1619298372
Bluff,-46.6,168.3333,46.99,93,97,8.01,NZ,1619298372
Ţahţā,26.7693,31.5021,80.6,17,0,9.22,EG,1619298372
Tasiilaq,65.6145,-37.6368,33.8,93,75,9.22,GL,1619298372
Gizo Government Station,-8.103,156.8419,82.67,75,41,7.45,SB,1619298373
Half Moon Bay,37.4636,-122.4286,64.99,71,40,10.36,US,1619298227
Svay Rieng,11.0879,105.7993,80.13,78,34,6.42,KH,1619298373
Xining,36.6167,101.7667,40.39,86,100,1.34,CN,1619298373
Ancud,-41.8697,-73.8203,59.0,88,75,6.91,CL,1619298198
Kapaa,22.0752,-159.319,78.8,65,20,13.8,US,1619298374
Cape Town,-33.9258,18.4232,62.01,88,0,5.75,ZA,1619298374
Barrow,71.2906,-156.7887,28.4,86,1,5.06,US,1619298374
Mataura,-46.1927,168.8643,46.99,93,87,8.01,NZ,1619298375
Fairbanks,64.8378,-147.7164,59.0,26,1,5.75,US,1619298197
Altagracia de Orituco,9.8601,-66.3814,87.37,49,86,8.93,VE,1619298375
Butaritari,3.0707,172.7902,82.67,76,34,12.03,KI,1619298375
Bambous Virieux,-20.3428,57.7575,79.0,83,75,14.97,MU,1619298375
Ushuaia,-54.8,-68.3,51.8,62,75,5.75,AR,1619298339
Albany,42.6001,-73.9662,66.99,27,75,8.05,US,1619298294
Mehamn,71.0357,27.8492,32.13,74,81,8.66,NO,1619298376
Sarangani,5.4033,125.4636,83.07,76,60,15.88,PH,1619298376
Thompson,55.7435,-97.8558,26.6,54,90,3.44,CA,1619298377
Puerto Ayora,-0.7393,-90.3518,80.6,78,75,11.5,EC,1619298377
Saskylakh,71.9167,114.0833,31.1,93,98,10.67,RU,1619298377
Hilo,19.7297,-155.09,73.4,78,90,11.5,US,1619298331
Balaoan,16.8219,120.4045,74.57,79,6,2.82,PH,1619298377
Manono,-7.3,27.4167,69.76,92,94,0.89,CD,1619298378
Fruitvale,39.0817,-108.4968,73.99,12,1,21.16,US,1619298378
Qaanaaq,77.484,-69.3632,27.59,71,90,6.91,GL,1619298378
North Bend,43.4065,-124.2243,55.4,76,90,18.41,US,1619298379
Mar del Plata,-38.0023,-57.5575,64.4,59,40,12.66,AR,1619298338
Hobart,-42.8794,147.3294,50.0,76,20,9.22,AU,1619298244
Yarim,14.298,44.3779,58.17,61,3,3.29,YE,1619298379
Ginir,7.1333,40.7,58.35,88,74,3.83,ET,1619298379
Feldkirchen-Westerham,47.9075,11.8427,44.01,69,18,2.89,DE,1619298380
Punta Arenas,-53.15,-70.9167,51.8,58,0,12.66,CL,1619298338
Aklavik,68.2191,-135.0107,41.0,48,20,5.75,CA,1619298380
Dryden,49.7833,-92.7503,37.4,25,1,10.36,CA,1619298380
Hohenstein-Ernstthal,50.8,12.7167,39.99,77,100,0.31,DE,1619298381
Mariehamn,60.0973,19.9348,35.6,75,75,12.66,AX,1619298381
Sobolevo,54.4299,31.8996,33.76,80,92,11.07,RU,1619298274
Ushtobe,45.2514,77.9838,40.23,39,100,11.18,KZ,1619298381
Saint George,37.1041,-113.5841,81.0,11,1,27.63,US,1619298382
Vaini,-21.2,-175.2,82.4,78,40,4.61,TO,1619298382
Chokurdakh,70.6333,147.9167,-3.55,89,5,5.12,RU,1619298382
Hamilton,39.1834,-84.5333,52.0,87,90,8.05,US,1619298250
Tuktoyaktuk,69.4541,-133.0374,24.8,80,40,6.91,CA,1619298382
Taoudenni,22.6783,-3.9836,92.1,9,2,9.78,ML,1619298383
Tessalit,20.1986,1.0114,90.97,6,0,8.41,ML,1619298336
Store Heddinge,55.3097,12.3889,41.0,60,10,2.3,DK,1619298383
Hithadhoo,-0.6,73.0833,82.96,69,14,7.99,MV,1619298220
Amilly,47.9728,2.7719,53.01,46,94,1.99,FR,1619298383
Dikson,73.5069,80.5464,3.36,99,36,8.63,RU,1619298384
Alyangula,-13.8483,136.4192,69.8,100,80,9.98,AU,1619298384
Narsaq,60.9167,-46.05,42.85,65,100,2.93,GL,1619298384
Tilichiki,60.4667,166.1,26.94,94,100,2.8,RU,1619298385
Walvis Bay,-22.9575,14.5053,60.01,88,0,6.91,NA,1619298385
Bredasdorp,-34.5322,20.0403,51.8,93,92,2.3,ZA,1619298235
Carnarvon,-24.8667,113.6333,62.6,77,0,5.75,AU,1619298385
Yellowknife,62.456,-114.3525,19.99,53,75,12.66,CA,1619298386
Hermanus,-34.4187,19.2345,63.0,79,96,3.0,ZA,1619298386
Hualmay,-11.0964,-77.6139,71.08,75,8,10.54,PE,1619298386
Isangel,-19.55,169.2667,78.6,77,99,11.63,VU,1619298386
Aswān,24.0934,32.907,84.56,10,0,13.35,EG,1619298387
Hong Kong,22.2855,114.1577,77.0,86,78,5.99,HK,1619298262
Leningradskiy,69.3833,178.4167,27.12,84,100,5.08,RU,1619298244
Sítio Novo do Tocantins,-5.5183,-47.4611,77.18,91,76,3.27,BR,1619298106
Caravelas,-17.7125,-39.2481,75.07,82,45,4.94,BR,1619298387
Sayyan,15.1718,44.3244,60.48,34,14,5.26,YE,1619298387
Cidreira,-30.1811,-50.2056,71.02,82,43,10.83,BR,1619298388
Chui,-33.6971,-53.4616,67.73,84,100,4.85,UY,1619298235
Paoua,7.2427,16.4406,72.79,84,100,8.32,CF,1619298388
Tiarei,-17.5333,-149.3333,86.0,70,75,10.36,PF,1619298388
Severo-Kuril'sk,50.6789,156.125,34.56,98,100,6.71,RU,1619298389
Codrington,-38.2667,141.9667,51.33,88,90,4.94,AU,1619298389
Akhnūr,32.8667,74.7333,68.0,64,30,6.93,IN,1619298389
Chicama,-7.8447,-79.1469,66.2,82,20,17.27,PE,1619298390
Avarua,-21.2078,-159.775,80.6,74,20,14.97,CK,1619298390
Mount Gambier,-37.8333,140.7667,51.8,100,75,5.75,AU,1619298390
Dalby,-27.1833,151.2667,41.0,100,78,1.14,AU,1619298390
Sibolga,1.7427,98.7792,75.47,87,100,3.87,ID,1619298391
Arraial do Cabo,-22.9661,-42.0278,77.0,78,40,2.3,BR,1619298391
Busselton,-33.65,115.3333,51.01,90,0,1.66,AU,1619298211
Makkah al Mukarramah,21.4267,39.8261,85.66,34,92,5.17,SA,1619298391
Laguna,38.421,-121.4238,71.01,34,90,9.22,US,1619298392
Ust'-Kulom,61.6864,53.6902,42.6,92,100,9.01,RU,1619298392
Asău,46.4333,26.4,45.0,52,66,3.2,RO,1619298263
